qid,label_en,description_en,instance_of_uuid,instance_of,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,journal_uuid,journal,journal_ref1_hash,journal_ref1_referenceUrl,journal_ref1_retrieved_nodeId,journal_ref1_retrieved_val,journal_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec
Q101208705,Implementing FAIR data for people and machines: impacts and implications - results of a research data community workshop,scholarly article,1649b8e6-40e5-8547-4c37-9748287e0a8a,Q18918145,933d177d-422e-3096-a45b-505d4d96cf84,10.3233/ISU-200083,,,,,,,,,,,,,97cd179b-4e27-dc18-b25c-24425b4799c6,018d3e563d283a80cd8422d6196984eb,2020-01-01T00:00:00Z,9,,,,,,5be44442-4ecb-d7df-af0c-f2ebbd2b37fd,Implementing FAIR data for people and machines: impacts and implications,,,,,,e42da3b6-4dcd-01df-2751-e8d5e5399e34,Q6030834,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103836674,Exposing the Null Curriculum in Graduate Religious Education,book chapter,23CD2094-1857-47B3-A9F8-A7D060BB1A40,Q21481766,,,,,,,,,,,,,,,878D0AA7-76A0-43BD-A50C-9DFB74E9C2ED,1c9551a398cfb51623c28b80416004d3,2019-01-01T00:00:00Z,9,,,,,,D7290BF3-DB6D-475C-B525-74A7267BAA24,Exposing the Null Curriculum in Graduate Religious Education,,,,,,942D5CDA-971A-4DF0-8F26-0992145EB1AE,Q103833801,,,,,,,,,,,,,ACF10F5B-01B3-4C0F-ABEB-EEE4D1516C2E,17-32,,,,,,,,,,,,
Q103836675,"Archive, Anamnesis, & A Real-Beyond-Presence in the Eucharistic Liturgy",journal article,0BB255B6-3896-407B-9E2E-9055A08D59C5,Q13442814,,,,,,,,,,,,,,,B7117265-F332-48E4-8F39-81C1449FDAE4,4755748741739c53456596b64165b84b,2014-01-01T00:00:00Z,9,,,,,,DEA0E4B9-FB1B-40F9-8972-A7E0DC8E375C,"Archive, Anamnesis, & A Real-Beyond-Presence in the Eucharistic Liturgy",,,,,,CE0E89B2-596B-406F-A970-26B56B2BC591,Q99760349,,,,,,77D2B5AD-481A-48FE-9845-45E5A3554793,7,,,,,,21D0CFE7-BCEF-4258-A7DE-9387F2F2854C,99-105,,,,,,,,,,,,
Q103836679,(Not Your) Grandpa's Church Service: Pyrotheology's Familial Resemblance to Liberal Theology and the Possibilities for Political Liturgy,journal article,DF9E35E0-310E-4048-B0D9-21636D98679A,Q13442814,B7EEBC2E-FEEE-44D6-807A-EEDE606B4319,10.3828/MB.2016.24,,,,,,,,,,,,,BDFAB800-5B7B-40C7-8E7A-2688E39ADBFE,864c28093f3e70d5e1967de207df801e,2016-01-01T00:00:00Z,9,,,,,,E7302C43-76EA-4EE4-85F2-1738161EF967,(Not Your) Grandpa's Church Service: Pyrotheology's Familial Resemblance to Liberal Theology and the Possibilities for Political Liturgy,,,,,,EDF94031-F5D0-4510-8938-9BC91941759A,Q96730680,,,,,,237C13C3-6B62-41C1-B4E7-B849E033AA5E,57,,,,,,5D7F8FB9-B6D8-49D7-8D47-4A06FF72FA82,349-361,,,,,,F25BC7FB-DD31-440C-8BAE-70CBEA7AC3A4,4,,,,,
Q103836680,"There is Nothing New Under the Sun? Reflections on ""The New Librarianship"" and the Theological Library",journal article,E7C4A3FA-AE92-4968-AAD6-648BC1B7D5A6,Q13442814,AF6FB8ED-CC33-4D09-97EB-33B98DEBEAF1,10.31046/TL.V8I1.370,,,,,,,,,,,,,C3B952CF-7684-4A67-8D76-F23960B5499E,418aedfba643e02a5ba758952f8f7765,2015-01-01T00:00:00Z,9,,,,,,964E084C-6746-4071-BB7E-1759B00B01EE,"There is Nothing New Under the Sun? Reflections on ""The New Librarianship"" and the Theological Library",,,,,,BE0B3FE3-ABEB-46F3-ACDE-008B3D4DF415,Q50668124,,,,,,64069ECD-6E8F-4EEB-8DCA-E3AE15D0B1FD,8,,,,,,0A5C4413-3774-4624-BC13-F487E74480C2,20-23,,,,,,F3B73475-99EC-4DA4-BE51-36EFC38C57B1,1,,,,,
Q103836684,Liturgy,book chapter,F49F6C94-947A-4008-A84F-183AE87CA62A,Q21481766,,,,,,,,,,,,,,,7D7ECE56-F747-499B-A98C-6541EFB58B63,a112a6fb4487071d1ae3a0c6951488f6,2018-01-01T00:00:00Z,9,,,,,,3DB6E5C9-215D-4D40-98FE-4830272B2B7C,Liturgy,,,,,,8E7B0AC7-7EDB-4951-8F90-B6400D360E43,Q103835484,,,,,,,,,,,,,30e28c0f-4e09-9952-984b-787a68665826,687-694,,,,,,,,,,,,
Q103836687,Sacramental and Liturgical Theology,book chapter,02A607A0-F42B-4216-901F-40883CDA8297,Q21481766,,,,,,,,,,,,,,,DF0D496B-7D19-46F9-973F-EAC81ABC1A1B,c46565f21d8de8ea8b597dfaa738109a,2017-01-01T00:00:00Z,9,,,,,,C8AD1796-134C-44C2-B54A-05009CA4D3EE,Sacramental and Liturgical Theology,,,,,,DACEEC61-3CF0-46D7-85F0-CB9D3429590C,Q103835851,,,,,,,,,,,,,A70C0EE0-0860-4B1A-9844-F2BEC02F99F3,337-339,,,,,,,,,,,,
Q103836688,"Haunted Houses, Spooky Rituals, and Practicing Perhaps",book chapter,296979BF-6F75-46B5-AEC5-FAC8436191CD,Q21481766,,,,,,,,,,,,,,,788E991C-698E-4D3A-8080-3E17E96A2D18,418aedfba643e02a5ba758952f8f7765,2015-01-01T00:00:00Z,9,,,,,,8B1C3110-3D6D-457E-A597-54E8F71E78DA,"Haunted Houses, Spooky Rituals, and Practicing Perhaps",,,,,,AC94D767-3DE5-4415-AF8E-297E958D3B16,Q103836198,,,,,,,,,,,,,7D044092-84EF-43BC-918B-2C2223CB5BE6,198-203,,,,,,,,,,,,
Q103836690,Radical on the Bookshelf,magazine article,7D83B712-0436-4242-96F2-8B1DC65F6234,Q30070590,,,,,,,,,,,,,,,6A345ADE-1D36-4D7C-BD27-72176B499063,a4cd9904a78844d854ea927fbdded8f2,2012-01-01T00:00:00Z,9,,,,,,77479425-AC5C-4E1B-88B6-24ABEA725813,Radical on the Bookshelf,,,,,,7723CBFA-B933-4BCB-9D04-8A0FE187C4CA,Q5530002,,,,,,,,,,,,,9BC66FD4-D630-46CC-A28D-AC16A75692F5,58,,,,,,437D1AB8-52A0-48CE-916C-B6EEAD5E405D,28,,,,,
Q103837192,Relational Librarianship @ Your Library,presentation,A0E3CBDA-6D76-47DF-A170-8F716EE9BCE2,Q604733,,,,,,,,,,,,,,,34F34B58-ED9F-4E0F-AB3D-6685372A4BE4,864c28093f3e70d5e1967de207df801e,2016-01-01T00:00:00Z,9,,,,,,CCBD895A-BDEC-4310-8814-E88BF4A0BF41,Relational Librarianship @ Your Library,,,,,,0F860C86-3CDF-4E27-BB33-22F8A40AB703,Q96705802,,,,,,a603e2b5-4a2c-f760-da4d-2be5a6d2ae7f,70,,,,,,f66b40a5-4191-9f7c-f167-5fce8ff6bb13,138-139,,,,,,,,,,,,
