qid,label_en,translator_uuid,translator,translator_stated_as,translator_series_ordinal,translator_ref1_hash,translator_ref1_referenceUrl,translator_ref1_stated_in,translator_ref1_retrieved_nodeId,translator_ref1_retrieved_val,translator_ref1_retrieved_prec
Q115714891,Christus und das Imperium : von Paulus bis zum Postkolonialismus,418B48F6-F2E4-4473-961D-1C682E3E71E9,Q113770464,Sabine Plonz,,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,a50d77d8-a989-4d58-b247-3cb0c230e20a,2022-12-15T00:00:00Z,11
Q115715053,Más allá del espiritu imperial: Nuevas perspectivas en política y religión,8083D75D-56C8-4EEC-B5C0-30B8DC962924,Q93222209,Néstor Míguez,,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,06c3c35f-b29e-4f67-946d-6129e7fb4266,2022-12-15T00:00:00Z,11
Q115715055,La religion del Mercado: Una aproximación crítica a la acumulación y la probreza,BDE32D03-5742-4B56-BD0C-1C1E819AA405,Q93222209,Néstor Míguez,,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,7f14a739-8dde-4aa9-b2fb-a88fecb04476,2022-12-15T00:00:00Z,11
Q115715056,Gemeinsam sind wir stärker: „Tiefe Solidarität,A370E181-9D8A-4A4A-B26E-5B38E0D3F1FD,Q113770464,Sabine Plonz,,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,9798e3b9-3044-43f2-9498-27667dc2422a,2022-12-15T00:00:00Z,11
Q115715061,Globalizzazione e Teologia,88BABE7C-7CC5-4E24-8C11-2E1755EE6F0F,Q88549559,Andrea Aguti,,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,67248c64-37f8-439c-b91b-e75fd54cb57a,2022-12-15T00:00:00Z,11
Q116607810,The Hermeneutics of Liberation: Toward A Communitarian Reading of the Bible,FB583318-D355-4C7E-AC78-DB5530F901D5,Q16122562,Fernando F Segovia,,75caa8d8e47b90b9f70f7dab0288b6009bc937a2,,Q114403967,b51604ff-3e4b-4d1b-9069-04c1d5a6ed81,2023-02-02T00:00:00Z,11
Q116607813,Theological Education in a New Context: Reflections from a Brazilian  Perspective,0835263F-D2AE-45A0-9762-B954A5D74DF4,Q16122562,Fernando F Segovia,,75caa8d8e47b90b9f70f7dab0288b6009bc937a2,,Q114403967,3a28d0e5-4536-4748-bc4a-478434d17477,2023-02-02T00:00:00Z,11
Q116607814,A reading of the story of the Tower of Babel from the perspective of non-identity : Genesis 11:1-9 in the context of its production,04B00CD7-C94C-4194-B662-51F3D1784AF2,Q16122562,Fernando F Segovia,,75caa8d8e47b90b9f70f7dab0288b6009bc937a2,,Q114403967,1a6339b6-ee0e-498f-9b3c-0a48a35c2793,2023-02-02T00:00:00Z,11
Q116607824,A Feminist Theology of Liberation: A Latin American Perspective with a View  toward the Future,23E0150C-9226-47AB-95BA-C185FDE07B36,Q16122562,Fernando F Segovia,,75caa8d8e47b90b9f70f7dab0288b6009bc937a2,,Q114403967,81e9d84b-8ea6-4f0b-988c-d94deda55475,2023-02-02T00:00:00Z,11
Q116607825,The theology of liberation: perspectives and tasks,DA29CC2C-1E40-497F-AB81-F4FBFD6B470C,Q16122562,Fernando F Segovia,,75caa8d8e47b90b9f70f7dab0288b6009bc937a2,,Q114403967,a9ed25cc-4458-4001-80f9-a2132afdaf3a,2023-02-02T00:00:00Z,11
