qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_stated_in,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q115649895,"Introduction: Afrofuturism in Black Theology – Race, Gender, Sexuality, and the State of Black Religion in the Black Metropolis",01EBA16B-100E-4BA9-BC27-6E4FC3FA7963,Terrance Dean,2,0b4a8b3df9dc3487209c63822542b3280b0d2f64,http://dx.doi.org/10.1080/14769948.2015.1131499,,56910e7f-244a-4938-96f0-ba569d94aef5,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",FED19F38-7776-4A68-8403-40691C89A14A,Preston Harper,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,46fe993c-f587-4bd2-bc83-a2b650391d69,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",8B6CB52C-F0E5-41CC-BA00-E777F9677D95,David von Schlichten,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,63dd079a-1f57-4575-a1cb-f421253263b1,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",AB88AAE0-E369-420D-8F8B-6C421C19BEF9,Fritz Bogar,7,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,d3276da6-bc76-4007-a91b-58568392d04c,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",09F5FBC8-5682-49CD-AA1E-DC8D6F178AE2,Patrick J Willson,8,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,b8fa4297-3e85-489f-845e-9ad968bb1d12,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",BF8C510A-3841-43B0-AD24-A46CED752AB1,Preston Harper,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,9a9f008b-4b5b-4331-9419-afee6e74c4f1,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",C2748FBB-92B4-4595-8CC7-206888EA3EF2,David von Schlichten,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,0dbdd8b6-8348-41af-a65e-5ec5b0e197b8,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",D11C5D5D-4FB1-4486-B52F-D4527EDA63B7,Virginia Miner,7,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a5aa5170-2ed1-40dd-9d89-cdaccca6839b,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",8CE426A5-B284-4EA7-80A1-C5C874394393,Robert J Elder,8,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,74fed6ef-07c4-4dc8-97a1-a3adafdc19e4,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",2C875405-CF00-46E5-8FBF-F46F45174D9F,Preston Harper,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,51fd1666-59d7-4f1b-8b5b-613cea9e7f46,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",BCD95A2D-1277-4080-99B6-5661E73218E8,David von Schlichten,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,48b448b9-5dfd-49b2-9450-9f1fb7fee32b,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",E0D13EA7-5E20-4F1B-AA3D-DA7C78B5A164,Dean J Seal,7,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,57f206d7-db7d-4d94-9620-c722eea335cd,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",EFED61A8-4D4E-463C-87EF-1FC55C59BFF6,Robert J Elder,8,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,96c76ea0-522a-4386-ba4a-2063953815cc,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",25F4902D-AA24-471F-BF5D-2A6011E70BDC,Preston Harper,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,98af12c0-fd28-4e6b-aa75-b83cf49080ac,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",B651B70E-1A46-482B-9216-6E6766029BBD,David von Schlichten,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a3f67eab-6b11-4600-b5a6-e14987a37eb9,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",4262284F-C168-4D70-A237-3A48BEA2E4AB,Dean J Seal,7,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,9424ea49-2304-43f1-a149-294a7bae57c0,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",C149C76A-91EA-4995-B9D0-9692AD325A4A,Rochelle A Stackhouse,8,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,3295b939-a742-48ae-9073-3347605f4f9f,2022-12-09T00:00:00Z,11
Q115650746,From Mari to Jerusalem and back: Assyriological and Biblical studies in honor of Jack Murad Sasson,7FCEA0D2-23D2-4453-8969-CC7DD6D343BC,David I Owen,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,dd60cc42-50f3-4a7e-888d-20e8a28b9d56,2022-12-09T00:00:00Z,11
Q115650668,"Private Regard, Identity Protection and Perceived Racism among African American Males",4B76AF87-F18B-4A9B-AE25-21A3AA276620,E Thomoseo Burton,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a905b7f5-e552-41e6-bddd-8c0c53ef3444,2022-12-09T00:00:00Z,11
Q115650668,"Private Regard, Identity Protection and Perceived Racism among African American Males",5DECF7FB-F3DB-4B6B-81EA-FF37D06EEB62,Mia Smith Bynum,3,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,ff4e0dc2-2651-4961-8139-3778dfc4225a,2022-12-09T00:00:00Z,11
Q115650668,"Private Regard, Identity Protection and Perceived Racism among African American Males",AA8767EB-E1A2-48B2-815D-127B9197242A,Candace Best,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,cacf8ee7-702b-4468-b549-6501e21f7ac7,2022-12-09T00:00:00Z,11
Q115650671,"Toward a History of Slavery in Small Places: Agrarian Diversity, Demographic Expansion, and Economic Stability in Fajardo, Puerto Rico, 1812-1838",C2071255-B7C2-40CB-A932-77850BBC6562,Joseph C Dorsey,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,0e35dd33-7502-4b94-b2aa-e86708c2cfdc,2022-12-09T00:00:00Z,11
Q115650699,Youth ministry in the Black church: centered in hope,DE7E89E4-E00C-45E0-8379-9B31E0D24289,Karma D Johnson,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,6b5c18cb-c534-4936-bb77-ff0352f4d876,2022-12-09T00:00:00Z,11
Q115650710,The “american dream” in poor urban neighborhoods: An analysis of home ownership attitudes and behavior and financial saving behavior*,94551128-816E-4636-BBB7-1979864A4164,C Jaret,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,86f77405-43ca-4db2-bf3b-a7733e6d79e5,2022-12-09T00:00:00Z,11
Q115650712,"Academics in action!: A model for community-engaged research, teaching, and service",073201AA-1F2C-4422-AB4C-3C638FE4691B,L Brinkley-Rubinstein,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,0ac8a19b-c807-456c-8228-38507d45f415,2022-12-09T00:00:00Z,11
Q115650712,"Academics in action!: A model for community-engaged research, teaching, and service",49E606AF-9800-436B-A5FB-FFD8ECFC2373,B Doykos,3,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,477499b0-6834-4995-b6a2-0a9c80cc975f,2022-12-09T00:00:00Z,11
Q115650712,"Academics in action!: A model for community-engaged research, teaching, and service",4DA48132-E8D0-4B24-916E-3831E32148D7,N C Martin,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,91d31c65-18ab-4327-97e5-ae2bdbd2290b,2022-12-09T00:00:00Z,11
Q115650712,"Academics in action!: A model for community-engaged research, teaching, and service",0504B29B-326E-4909-801C-F5D125EEC559,A McGuire,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,5cb80313-8816-492c-a9d7-58cd2056de14,2022-12-09T00:00:00Z,11
Q115650714,Leadership Amidst Poverty: a Mixed-Methodological Analysis of the Shack Dweller Federation of Namibia,7763C550-8768-4AD7-A021-4C3FCA47521D,A Cowser,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,241420b4-5a23-4c7f-af6c-6298a332b0a9,2022-12-09T00:00:00Z,11
Q115650714,Leadership Amidst Poverty: a Mixed-Methodological Analysis of the Shack Dweller Federation of Namibia,6505B558-B855-41C6-82AF-8E9A919FAAF8,T A Gutierrez,3,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,80267c26-c55a-4207-aca0-5636c98841f1,2022-12-09T00:00:00Z,11
Q115650715,"The kings of Mississippi: Race, religious education, and the making of a middle-class black family in the segregated south",C73C3E40-1BF4-4642-8F8A-93023913AE9F,B Blanford-Jones,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,6cd31f7b-009e-4f2e-a5eb-d9f009058db1,2022-12-09T00:00:00Z,11
Q115673393,I Feel Blacker: Applying a Black Feminist Paradigm to an Intervention Program for Black Men Who Have Sex with Men in the South,68B91494-BF18-4C85-AAB5-4789671DA07E,L Collins,2,414bf63fef4c79a78a6ed6df5413c21c51afb127,,Q114403967,77e9a8bd-733f-4640-b794-5b745d31173f,2022-12-11T00:00:00Z,11
Q115673398,I Spirit and Truth: a vision of episcopal worship.,6E1D0B52-BFA5-49CC-AE39-E84D108DD747,Kevin Moroney,,414bf63fef4c79a78a6ed6df5413c21c51afb127,,Q114403967,b30edfa3-7d0f-4c37-932b-8532796b0c7d,2022-12-11T00:00:00Z,11
Q115673398,I Spirit and Truth: a vision of episcopal worship.,5F2AC399-8539-4816-972E-EE3F8ED83506,Sylvia Sweeny,,414bf63fef4c79a78a6ed6df5413c21c51afb127,,Q114403967,8014ecb0-5833-43a5-a2ce-5d7c06e0df79,2022-12-11T00:00:00Z,11
Q115673415,College Theology Society and National Association of Baptist Professors of Religion Share Meeting,328CF30C-701F-42C9-9695-AB9452FBDC52,Richard F Wilson,2,414bf63fef4c79a78a6ed6df5413c21c51afb127,,Q114403967,e3150685-06d8-4852-90ea-9d95eb81d491,2022-12-11T00:00:00Z,11
Q115674341,Aquinas and radical orthodoxy: A critical inquiry,6F0C6F1F-DA54-41D6-B2D5-19FE6E351C63,P J DeHart,,414bf63fef4c79a78a6ed6df5413c21c51afb127,,Q114403967,a7a729cb-1d08-4783-8309-14baf4216b70,2022-12-11T00:00:00Z,11
Q115674358,Black church studies: an introduction,3DD56947-00EA-482A-87E7-1A550E53AD39,Carol B Duncan,3,414bf63fef4c79a78a6ed6df5413c21c51afb127,,Q114403967,d7a4bbd7-51bf-4ede-82dd-6f63a2d2e108,2022-12-11T00:00:00Z,11
Q115674358,Black church studies: an introduction,BDA19E1B-CB84-46C8-B620-6CFC9323B754,Stephen G Ray,4,414bf63fef4c79a78a6ed6df5413c21c51afb127,,Q114403967,20601348-61c7-4a71-a9b9-a6773fb146ab,2022-12-11T00:00:00Z,11
Q115674361,The altars where we worship: the religious significance of popular culture,B720CC02-2D86-4E7B-A01C-487D7D68A61E,Mark G Toulouse,3,414bf63fef4c79a78a6ed6df5413c21c51afb127,,Q114403967,803589ea-dac6-4cae-b877-e156965268f4,2022-12-11T00:00:00Z,11
Q115681132,"Proper 21, Twenty-Sixth Sunday in Ordinary Time: September 28, 2008",9478542B-1887-409D-9117-9BDED37FDAB8,Cláudio Carvalhaes,4,ee5b3c703ea5aa7c335ebfcde40253125834d12c,,Q114403967,2b7d954e-3340-486c-97c3-158baa240cb7,2022-12-12T00:00:00Z,11
