qid,label_en,depicts_uuid,depicts,depicts_ref1_hash,depicts_ref1_statedIn,depicts_ref1_referenceUrl,depicts_ref1_retrieved_nodeId,depicts_ref1_retrieved_val,depicts_ref1_retrieved_prec
Q102305506,The Christ of the Breadlines,,,,,,,,
Q102315563,Seated female funerary figure,,,,,,,,
Q102315787,Head of a Young Girl or a Goddess,,,,,,,,
Q102949359,"""I Hate You For Hitting My Mother,"" Minneapolis",,,,,,,,
Q102958387,"(An Imaginary) Night Attack in the War Between the Hogen, Heiji, Minamoto, Yoshitomo, and Shirakawa [Forces]",,,,,,,,
Q102958390,"#1, Scenes from a Marriage, Garth and Lisa",,,,,,,,
Q102961140,#109,,,,,,,,
Q102961146,#116,,,,,,,,
Q102961155,#117,,,,,,,,
Q102961164,"#2, Scenes from a Marriage, Lisa and Garth",,,,,,,,
Q102961170,"#3, Scenes from a Marriage, Lisa and Garth",,,,,,,,
Q102961180,"#IX, from the Series of Lithographs I To IX",,,,,,,,
Q102961187,1 Sekunde artist's book,,,,,,,,
Q102961197,19th Century Representations of 17th-Century Fireplaces of the Louis XIV Period,,,,,,,,
Q102961202,19th-Century Representations of 17th-Century Fireplaces of the Louis XIV Period,,,,,,,,
Q102961211,A Cloudless Walk,,,,,,,,
Q102961219,"A collection of approx. 180 architectural plans for the Woolworth Building (New York, NY)",,,,,,,,
Q102961225,"A Conversation with Guido di Brettinoro, (Purgatorio, Canto 14) from Illustrations to Dante's Divine Comedy",,,,,,,,
Q102961230,A Craggy Landscape,,,,,,,,
Q102961239,A Famous View of Ise - The Marriage Rocks at Futami-ga-ura at Sunrise,,,,,,,,
Q102961245,"A Ghost Painting Coming to Life in the Studio of the Painter Okyō, from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi)",,,,,,,,
Q102961253,A group of muffs and other articles of dress on a table,,,,,,,,
Q102961265,A Harlot's Progress: Scene in Bridewell,,,,,,,,
Q102961272,A Harlot's Progress: The Funeral,,,,,,,,
Q102961288,A Meeting in a Forest,,,,,,,,
Q102961293,A Mexican woman stands next to the Mexican/US border,,,,,,,,
Q102961299,A Mother Holding a Child,,,,,,,,
Q102961305,A Mountain Pass,,,,,,,,
Q102961312,A Philosopher,,,,,,,,
Q102961315,A Picture from an Outline of Women's Manners - The Wedding Ceremony,,,,,,,,
Q102961327,A Puppet Play in the Inner Palace of Edo Castle (from the series The Inner Palace of Chiyoda Castle),,,,,,,,
Q102961335,"A Scene from Virgil's Aeneid, Book IV",,,,,,,,
Q102961344,"A Scene from Virgil's Aeneid, Book IX",,,,,,,,
Q102961349,"A Scene from Virgil's Aeneid, Book VI",,,,,,,,
Q102961359,"A Scene from Virgil's Aeneid, Book VIII",,,,,,,,
Q102961367,A Senseless After Dinner Custom,,,,,,,,
Q102961376,A Storm at Sea after Claude Lorrain,,,,,,,,
Q102961387,A toutes les personnes qui ont des capitaux a perdre,,,,,,,,
Q102961393,A Train of Wagons with Goods,,,,,,,,
Q102961400,"A tympanum with Madonna, St. Ephanus, St. Petrus, St. Paulus, St. Agata",,,,,,,,
Q102961406,"A victim of landmines, Kabul, Afghanistan",,,,,,,,
Q102961416,a Yuri G,,,,,,,,
Q102961421,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of a Dragon,,,,,,,,
Q102961432,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of a Landscape in the Rain,,,,,,,,
Q102961438,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of Clouds and Lightning,,,,,,,,
Q102961447,A-Fuchi (Sword Handle Ferrule) and B-Kashira (Sword Handle Pommel) with a Design of Four Geese Flying in the Rain Over Fishnets,,,,,,,,
Q102961454,"AARKA, from American Abstract Artists 50th Anniversary Print Portfolio",,,,,,,,
Q102961461,Abigail before David,,,,,,,,
Q102961468,Abondantia,,,,,,,,
Q102961474,About a Cat,,,,,,,,
Q102961480,"Abraham and Isaac, after a ceiling design by Titian in the Santa Maria della Salute Church, Venice",,,,,,,,
Q102961486,"Abstract-Impressionism - After Seurat, from American Abstract Artists 75th Anniversary Print Portfolio",,,,,,,,
Q102961491,Abstraction (from Derriere le Miroìr),,,,,,,,
Q102961498,"Across, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102961508,Adoration of the Sheperds,,,,,,,,
Q102961514,African Daisy (reproduction),,,,,,,,
Q102961521,"Afterglow (also called Geddington, England)",,,,,,,,
Q102961533,Airplane,,,,,,,,
Q102961549,"Album du Siége, Title page from Recueil de Caricatures Publieé Pendant le Siége dans Le Charivari",,,,,,,,
Q102961559,"Album of 19 Reproductions of Paintings, Illustrating the Kabuki juhachiban  (18 Kabuki Plays)",,,,,,,,
Q102961566,Album painting of two men in a cottage in a mountain landscape,,,,,,,,
Q102961573,"Alla Sicilia (In Sicily), from Paesaggi (Landscapes)",,,,,,,,
Q102961587,Allegory of Morbidity (after Raphael),,,,,,,,
Q102961594,"American Flag, from ""America: Now + Here"" a portfolio",,,,,,,,
Q102961601,"American Gothic, from ""America: Now + Here"" a portfolio",,,,,,,,
Q102961610,American Homestead Autumn,,,,,,,,
Q102961616,American Homestead Spring,,,,,,,,
Q102961621,American Homestead Summer,,,,,,,,
Q102961627,American Homestead Winter,,,,,,,,
Q102961636,"An American soldier stands on top of a destroyed Iraqi tank. Kuwaiti oil wells, ignited by Saddam's retreating forces, burn in the distance, Kuwait",,,,,,,,
Q102961640,An Old Water Mill,,,,,,,,
Q102961645,Anatolian amulet with an eye design,,,,,,,,
Q102961649,"Ancient Excavations at Carli, India",,,,,,,,
Q102961655,Animal vase,,,,,,,,
Q102961661,Annamese ware dish with blue underglaze painting,,,,,,,,
Q102961667,Ansicht der Stodt Braunau am Innfluss,,,,,,,,
Q102961675,Ante Bellum #2,,,,,,,,
Q102961681,"Antinova Remembers, from the Revolutions Per Minute (The Art Record)",,,,,,,,
Q102961684,Antioch Coin in irregular ovoid shape,,,,,,,,
Q102961692,Antioch coin in irregular ovoid shape,,,,,,,,
Q102961701,Antique scene after David,,,,,,,,
Q102961707,Aqua (the second from a suite of four prints entitled les Quatres Eléments (The Four Elements)),,,,,,,,
Q102961714,Aquarelle #21,,,,,,,,
Q102961720,"Arachne, from American Abstract Artists 50th Anniversary Print Portfolio",,,,,,,,
Q102961727,Arita ware sake cup with a design in blue underglaze of three fish,,,,,,,,
Q102961734,Arita ware tea cup with a design in blue underglaze of bamboo,,,,,,,,
Q102961744,Arita ware tea cup with a design in overglaze enamel of flowers and vines,,,,,,,,
Q102961750,Arita ware tea cup with design in blue underglaze of figures and buildings in a landscape,,,,,,,,
Q102961755,Arita ware water dropper (suiteki) with a design in blue underglaze of a crane and pine trees,,,,,,,,
Q102961763,"Arm Rest with a Design of a Crane, Chinese Characters, & Sacred Fungus",,,,,,,,
Q102961768,Arm Rest With a Design of a Persimmon,,,,,,,,
Q102961772,Arm Rest with a Design of a Table with a Basket of Fruit & Buddha's Hand Fruit,,,,,,,,
Q102961781,Arm rest with a design of man in boat with inscription,,,,,,,,
Q102961790,Arm rest with a landscape design and inscription,,,,,,,,
Q102961795,Arm Rest with a Peony Design,,,,,,,,
Q102961804,Arm rest with Chinese inscription,,,,,,,,
Q102961809,Armer vetter und hoher Herr 2 (Poor cousin and high master 2),,,,,,,,
Q102961816,Assentamento #4,,,,,,,,
Q102961820,"August, Août (August), from a suite of allegorical prints illustrating the months of the year with text in German and French",,,,,,,,
Q102961830,Autumn River,,,,,,,,
Q102961843,"Autumn, Sowing of Grain",,,,,,,,
Q102961856,Bacchantenzug (Bacchanalian Procession),,,,,,,,
Q102961862,Bacchus au Festin,,,,,,,,
Q102961870,Bahba,,,,,,,,
Q102961883,Balance,,,,,,,,
Q102961894,Bamboo #1,,,,,,,,
Q102961901,Bamboo #2,,,,,,,,
Q102961911,Bamboo container with carved inscription,,,,,,,,
