qid,label_en,editor_uuid,editor,editor_series_ordinal,editor_stated_as,editor_ref1_hash,editor_ref1_referenceUrl,editor_ref1_retrieved_nodeId,editor_ref1_retrieved_val,editor_ref1_retrieved_prec
Q106877202,The theology and provenance of John 15:1-17,,,,,,,,,
Q106877421,"The structure, Tendenz, and Sitz im leben of John 13:31-14:31",,,,,,,,,
Q106927449,Linguistic Evidence and the Dating of Qoheleth,,,,,,,,,
Q106975970,Qohelet's Eschatological Poem,,,,,,,,,
Q106976566,"Orthography, textual criticism, and the poetry of Job",,,,,,,,,
Q106976698,An exquisitely poetic introduction to the Psalter,,,,,,,,,
Q106976755,"Introduction to the Society of Biblical Literature presidential address, N 23 2013",,,,,,,,,
Q106976805,Criticism in critical times: reflections on vision and task,,,,,,,,,
Q108748206,In a Blaze of Glory: Womanist Spirituality as Social Witness,,,,,,,,,
Q109404829,Christianity and Empire,,,,,,,,,
Q109404830,Black Church Giving,,,,,,,,,
Q109407333,Just Capitalism: A Christian Ethic of Globalization. By Brent Waters,,,,,,,,,
Q109407334,Deep solidarity: Broadening the basis of transformation,,,,,,,,,
Q109407335,"Empire, Deep Solidarity, and the Future of Liberation Theology",,,,,,,,,
Q109407336,The Touch of Transcendence: A Postcolonial Theology of God - By Mayra Rivera,,,,,,,,,
Q109407337,Controversies in Political Theology: Development or Liberation? - By Thia Cooper,,,,,,,,,
Q109407338,Karl Barth: God's Word in Action - By Paul S. Chung,,,,,,,,,
Q109407937,The Ethics of Wealth in a World of Economic Inequality: A Christian Perspective in a Buddhist-Christian Dialogue,,,,,,,,,
Q109408050,Power and Christian Theology - By Stephen Sykes,,,,,,,,,
Q109408051,Power and Empire in the Study of Nineteenth-Century Theology: The Case of Schleiermacher,,,,,,,,,
Q109408052,Radikale Theologie - By Ingolf U. Dalferth,,,,,,,,,
Q109408054,Re-envisioning Ecotheology and the Divine from the Margins,,,,,,,,,
Q109408056,Religion and Class,,,,,,,,,
Q109408058,"Solidarisch Mensch Werden: Psychische Und Soziale Destruktion IM Neoliberalismus-Wege Zu Ihrer Überwindung - By Ulrich Duchrow, Reinhold Bianchi, René Krüger, and Vincenzo Petracca",,,,,,,,,
Q109408059,The Politics of Human Frailty: A Theological Defence of Political Liberalism – By Christopher J. Insole,,,,,,,,,
Q109408060,Divine Currency: The Theological Power of Money in the West - By Devin Singh,,,,,,,,,
Q109408061,"The Turning of the Tide: Theology, Religion, and Economics",,,,,,,,,
Q109408063,Wesleyan Perspectives on the New Creation – Edited by M. Douglas Meeks,,,,,,,,,
Q109408064,The Cambridge Companion to Liberation Theology Edited by Christopher Rowland,,,,,,,,,
Q109408065,"Where is God? Earthquake, Terrorism, Barbarity, and Hope - By Jon Sobrino",,,,,,,,,
Q109408066,The Suffering of Economic Injustice: A Response to Ulrich Duchrow and David Loy,,,,,,,,,
Q109408068,"Religion, Labor, Class, and Justice: Buddhist—Christian Dialogue in Fresh Perspective",,,,,,,,,
Q109408069,Occupy Religion: Theology of the Multitude and Interreligious Dialogue,,,,,,,,,
Q109408070,Theology and Mission Between Neocolonialism and Postcolonialism,,,,,,,,,
Q109408071,"Is Political and Intercultural Theology Real Theology, and Why Should Anyone Care?",,,,,,,,,
Q109408074,Book Review: With the Grain of the Universe: The Church's Witness and Natural Theology,,,,,,,,,
Q109408075,Book Review: Theologie aus asiatischen Quellen: Der theologische Weg Choan-Seng Songs vor dem Hintergrund der asiatischen ökumenischen Diskussion,,,,,,,,,
Q109408076,Capitalism and Christian theology,,,,,,,,,
Q109408077,Engaging whiteness (more) constructively: Conversations with James Cone and Frederick Herzog on the future of race and class in theology,,,,,,,,,
Q109408079,Hoping against Hope: Dealing with Hopelessness in Ancient Times and Today †,,,,,,,,,
Q109408080,Restructuring Interreligious Dialogue from the Bottom Up through the Lenses of Deep Solidarity and the Multitude,,,,,,,,,
Q109408397,Protestants and giving: The tithes that bind?,,,,,,,,,
Q109408398,"Idols, Fetishes and Foreskins: The Other of Religion",,,,,,,,,
Q109408399,Academic Freedom and the Plight of German Theological Studies,,,,,,,,,
Q109408400,The Gentilemen's Agreement,,,,,,,,,
Q109408403,Comment,,,,,,,,,
Q109408404,Seeing Things Differently and Not Being Looked At,,,,,,,,,
Q109408522,Resistance to Women in Ministry and the Psychodynamics of Sadness,,,,,,,,,
Q109408524,Revisiting Forgiveness as a Pastoral Theological “Problem”,,,,,,,,,
Q109408525,On Getting away with It: Jesus and the Temptation in the Desert,,,,,,,,,
Q109408526,The Memory of Feeling: Envy and Happiness,,,,,,,,,
Q109408527,A Review of Kirk A. Bingaman’s The Power of Neuroplasticity for Pastoral and Spiritual Care,,,,,,,,,
Q109408528,Getting it Write: On the Craft of Academic Writing,,,,,,,,,
Q109408530,"The Organ of Tactility: Fantasy, Image, and Male Masturbation",,,,,,,,,
Q109408531,The Living Human Web: A Twenty-five Year Retrospective,,,,,,,,,
Q109408533,“I’m the King of Debt”: Pastoral Reflections on Debt in the Age of Trump,,,,,,,,,
Q109408534,The Psychodynamics of Conversion: Winnicottian Perspectives on the Transformation of Job,,,,,,,,,
Q109408535,Toys: a Man Has His Reasons. Winnicottian Perspectives on the Playing of Men,,,,,,,,,
Q109408536,The Least of These: Black Church Children’s and Youth Outreach Efforts,,,,,,,,,
Q109408537,"Theological, Denominational, and Organizational Influences on Ecumenical Involvement between Black and White Churches",,,,,,,,,
Q109408538,Black Megachurches: Social Gospel Usage and Community Empowerment,,,,,,,,,
Q109408540,Black Church Electoral and Protest Politics from 2002 to 2012: a Social Media Analysis of the Resistance Versus Accommodation Dialectic,,,,,,,,,
Q109408541,"To Educate, Equip, and Empower: Black Church Sponsorship of Tutoring or Literary Programs",,,,,,,,,
Q109408542,Interprofessional Simulation for Nursing and Divinity Students: Learning Beyond Checklists,,,,,,,,,
Q109408544,"Too Poor to Get Sick? The Implications of Place, Race, and Costs on the Health Care Experiences of Residents in Poor Urban Neighborhoods",,,,,,,,,
Q109408545,"Alistair Dougall. The Devil's Book: Charles I, the Book of Sports and Puritanism in Tudor and Early Stuart England.",,,,,,,,,
Q109408546,Hitler's Monsters: A Supernatural History of the Third Reich. By Eric Kurlander.,,,,,,,,,
Q109408547,Baptists in America. By Bill J. Leonard. Columbia Contemporary American Religion Series.,,,,,,,,,
Q109408549,Cotton Mather and Biblia Americana: America's First Bible Commentary. Essays in Reappraisal. Edited by Reiner Smolinski and Jan Stievermann.,,,,,,,,,
Q109408551,The Syro-Palestinian Context of Solomon's Dream,,,,,,,,,
Q109408552,Reason and religion in the English Revolution. The challenge of Socinianism. By Sarah Mortimer.,,,,,,,,,
Q109409866,The Burning of Rebellious Thoughts: MOVE as Revolutionary Black Humanism,,,,,,,,,
Q109409867,Enter Into His Gates: An Analysis of Black Church Participation Patterns,,,,,,,,,
Q109409870,The Narrative Function of Preaching,,,,,,,,,
Q109409871,Peace and Justice: The Eucharistic Community of Gifting,,,,,,,,,
Q109409874,The folklore of state socialism: Semiotics and the study of the Soviet state,,,,,,,,,
Q109409875,Epistemology or Bust: Where are we Really Headed?,,,,,,,,,
Q109409876,Remembering the Dismembered: Teaching for Transformation and Restoration,,,,,,,,,
Q109409878,Womanist–Lesbian Pastoral Ethics: A Post-Election Perspective,,,,,,,,,
Q109409896,Understanding Pastoral Counseling,,,,,,,,,
Q109417469,"Hegemonic Imagination, Historical Ethos, and Colonized Minds in the Pedagogical Space: Pastoral Ethics and Teaching as if our Lives Depended on it",,,,,,,,,
Q109417472,Empowering Activist Pedagogies in Pastoral Theology: Accountabilities and Transformative Possibilities,,,,,,,,,
Q109417475,"Object Relations, Buddhism, and Relationality in Womanist Practical Theology",,,,,,,,,
Q109417477,A Case Study of the Working Poor Single Mother Experience: An Analysis of the Structure versus Agency Discourse,,,,,,,,,
Q109417480,The Ebonics Enigma: An analysis of attitudes on an urban college campus,,,,,,,,,
Q109417483,"African American Religions, 1500–2000: Colonialism, Democracy, and Freedom",,,,,,,,,
Q109417487,"“Be Real Black for Me”: The Icon, Idol, and Incarnation of America’s First Black President",,,,,,,,,
Q109417489,“That’s Not How the Story Ends:” Vincent Harding’s Liberating Vision of African American Religious History,,,,,,,,,
Q109417493,Women in Late Antiquity: Pagan and Christian Lifestyles. Gillian Clark,,,,,,,,,
Q109417495,"The New Moses: A Matthean Typology. Dale C. Allison, Jr.",,,,,,,,,
Q109417499,Dual Allegiance: Freud as a Modern Jew by Moshe Gresser,,,,,,,,,
Q109417501,The Jewish Novel in the Ancient World. Lawrence M. Wills,,,,,,,,,
Q109417502,Vehicle for God: The Metaphorical Theology of Eberhard Jüngel. Roland Daniel Zimany,,,,,,,,,
Q109417503,The Fourth Great Awakening and the Future of Egalitarianism. Robert William Fogel,,,,,,,,,
Q109417504,"The Ambiguous Infinite: Jüngel, Marion, and the God of Descartes",,,,,,,,,
Q109417505,Jesus and the Politics of Interpretation. Elisabeth Schüssler Fiorenza,,,,,,,,,
Q109417506,The Servant’s Tale: How Rebekah Found a Spouse,,,,,,,,,
Q109417507,"Mark Edmundson, . The Death of Sigmund Freud: The Legacy of His Last Days.",,,,,,,,,
Q109417509,"Hayes, Peter, and John K. Roth, eds. The Oxford Handbook of Holocaust Studies.",,,,,,,,,
Q109417510,"Friends of the Unrighteous Mammon: Northern Christians and Market Capitalism, 1815–1860 by Stewart Davenport",,,,,,,,,
Q109417511,Stefania Tutino . Thomas White and the Blackloists: Between Politics and Theology during the English Civil War,,,,,,,,,
Q109417512,Otto Maduro: In Remembrance and Celebration,,,,,,,,,
Q109417513,Work and Faith in the Kentucky Coal Fields: Subject to Dust. By Richard J. Callahan Jr.,,,,,,,,,
Q109417514,To Serve the Living: Funeral Directors and the African American Way of Death. By Suzanne E. Smith.,,,,,,,,,
Q109417515,Mau Mau in Harlem? The U.S. and the Liberation of Kenya,,,,,,,,,
Q109417516,The Iconography of Malcolm X,,,,,,,,,
Q109417517,America's Public Bible: Biblical Quotations in U.S. Newspapers,,,,,,,,,
Q109417518,New World A-Coming: Black Religion and Racial Identity during the Great Migration,,,,,,,,,
Q109417519,Why Politics Needs Religion: The Place of Religious Arguments in the Public Square. By Brendan Sweetman.,,,,,,,,,
Q109417520,"In the Beginning Was the Word: The Bible in American Public Life, 1492-1783. By Mark A. Noll",,,,,,,,,
Q109417521,"Where 'Difference is the Norm': Exploring Refugee Student Ethnic Identity Development, Acculturation, and Agency at Shaw Academy",,,,,,,,,
Q109417523,Particularism and Universalism in the Sermon on the Mount: A Narrative-Critical Analysis of Matthew 5-7 in the Light of Matthew's View on Mission. By Boris Paschke,,,,,,,,,
Q109417524,Exploring Our Hebraic Heritage: A Christian Theology of Roots and Renewal. By Marvin R. Wilson,,,,,,,,,
Q109417525,A Paleontological View of Freud's Study of Religion: Unearthing the Leitfossil Curcumcision,,,,,,,,,
